Time B,Detector B,
0.0009,3.5254,
0.0072,3.5254,
0.0136,3.5357,
0.014,3.5357,
0.0246,3.5408,
0.0511,3.5254,
0.0512,3.5306,
0.0556,3.5254,
0.0559,3.5306,
0.0612,3.5254,
0.0687,3.5357,
0.0697,3.5357,
0.0699,3.5306,
0.0701,3.5357,
0.0702,3.5357,
0.0704,3.5357,
0.0706,3.5357,
0.0707,3.5357,
0.0709,3.5408,
0.0711,3.5408,
0.0713,3.5408,
0.0714,3.5408,
0.0716,3.5408,
0.0718,3.5357,
0.0719,3.5306,
0.0721,3.5408,
0.0723,3.5408,
0.0725,3.5306,
0.0726,3.5357,
0.0728,3.5357,
0.073,3.5408,
0.0734,3.5357,
0.0736,3.5357,
0.0738,3.5357,
0.0739,3.5357,
0.0741,3.5357,
0.0743,3.5357,
0.0745,3.5408,
0.0746,3.5357,
0.0748,3.5306,
0.075,3.5357,
0.0751,3.5357,
0.0753,3.5357,
0.0755,3.5357,
0.0756,3.5408,
0.0758,3.5357,
0.076,3.5357,
0.0762,3.5357,
0.0763,3.5357,
0.0765,3.5357,
0.0767,3.5306,
0.0768,3.5306,
0.077,3.5306,
0.0772,3.5306,
0.0773,3.5306,
0.0775,3.5357,
0.0778,3.5254,
0.078,3.5357,
0.0781,3.5306,
0.0783,3.5306,
0.0785,3.5357,
0.0787,3.5357,
0.0789,3.5357,
0.079,3.5306,
0.0792,3.5254,
0.0794,3.5306,
0.0796,3.5306,
0.0797,3.5306,
0.0799,3.5357,
0.0801,3.5357,
0.0802,3.5357,
0.0804,3.5357,
0.0806,3.5357,
0.0808,3.5357,
0.0809,3.5306,
0.0811,3.5306,
0.0813,3.5254,
0.0831,3.5357,
0.0833,3.5357,
0.0835,3.5357,
0.0837,3.5254,
0.0839,3.5306,
0.0841,3.5306,
0.0843,3.5254,
0.0846,3.5306,
0.0849,3.5357,
0.0851,3.5306,
0.0853,3.5306,
0.0862,3.5357,
0.0863,3.5357,
0.0865,3.5357,
0.0867,3.5357,
0.0868,3.5357,
0.087,3.5357,
0.0872,3.5357,
0.0873,3.5357,
0.0875,3.5408,
0.0876,3.5408,
0.0878,3.5306,
0.088,3.5357,
0.0886,3.5357,
0.0887,3.5357,
0.0889,3.5357,
0.0891,3.5357,
0.0892,3.5408,
0.0901,3.5357,
0.0904,3.5357,
0.0907,3.5357,
0.091,3.5357,
0.0913,3.5357,
0.0916,3.5357,
0.0919,3.5357,
0.0922,3.5357,
0.0925,3.5306,
0.0928,3.5306,
0.0932,3.5357,
0.0935,3.5306,
0.0938,3.5306,
0.0941,3.5306,
0.0944,3.5254,
0.0953,3.5306,
0.0956,3.5306,
0.0959,3.5306,
0.0962,3.5254,
0.0965,3.5306,
0.0968,3.5306,
0.0971,3.5254,
0.0976,3.5254,
0.0979,3.5306,
0.0982,3.5306,
0.0985,3.5306,
0.0988,3.5254,
0.0991,3.5306,
0.0994,3.5306,
0.0998,3.5357,
0.1009,3.5254,
0.1012,3.5306,
0.1015,3.5306,
0.1019,3.5254,
0.1022,3.5306,
0.1026,3.5357,
0.1029,3.5306,
0.1033,3.5306,
0.1036,3.5357,
0.1039,3.5357,
0.1043,3.5306,
0.1045,3.5357,
0.1048,3.5306,
0.1051,3.5306,
0.1057,3.5254,
0.106,3.5306,
0.1063,3.5254,
0.1066,3.5306,
0.107,3.5306,
0.1073,3.5306,
0.1076,3.5306,
0.1079,3.5357,
0.1082,3.5357,
0.1085,3.5306,
0.1094,3.5306,
0.1097,3.5357,
0.1104,3.5306,
0.1107,3.5306,
0.111,3.5306,
0.1113,3.5357,
0.1116,3.5306,
0.112,3.5306,
0.1123,3.5306,
0.1129,3.5306,
0.1133,3.5357,
0.1141,3.5254,
0.1144,3.5254,
0.1148,3.5306,
0.1151,3.5254,
0.1154,3.5357,
0.1157,3.5306,
0.116,3.5254,
0.1163,3.5357,
0.1166,3.5357,
0.1169,3.5357,
0.1172,3.5357,
0.1175,3.5357,
0.1178,3.5306,
0.1181,3.5357,
0.1185,3.5357,
0.1188,3.5306,
0.1191,3.5306,
0.1194,3.5306,
0.1197,3.5306,
0.12,3.5306,
0.1203,3.5357,
0.1206,3.5357,
0.1209,3.5357,
0.1214,3.5357,
0.1216,3.5254,
0.1219,3.5408,
0.1222,3.5357,
0.1225,3.5306,
0.1229,3.5306,
0.1232,3.5306,
0.1235,3.5357,
0.1238,3.5357,
0.1242,3.5306,
0.1245,3.5306,
0.1248,3.5306,
0.1251,3.5306,
0.1254,3.5357,
0.1257,3.5357,
0.126,3.5357,
0.1263,3.5306,
0.1266,3.5357,
0.1269,3.5306,
0.1272,3.5306,
0.1275,3.5306,
0.1279,3.5306,
0.1282,3.5306,
0.1285,3.5357,
0.1288,3.5357,
0.1291,3.5357,
0.1295,3.5306,
0.1299,3.5306,
0.1302,3.5306,
0.131,3.5357,
0.1313,3.5357,
0.1316,3.5306,
0.1319,3.5357,
0.1323,3.5357,
0.1326,3.5306,
0.1329,3.5254,
0.1333,3.5306,
0.1336,3.5306,
0.1339,3.5254,
0.1342,3.5357,
0.1345,3.5306,
0.1348,3.5306,
0.1351,3.5357,
0.1354,3.5254,
0.1357,3.5357,
0.136,3.5357,
0.1363,3.5254,
0.1367,3.5357,
0.137,3.5357,
0.1374,3.5254,
0.1377,3.5357,
0.138,3.5306,
0.1383,3.5306,
0.1387,3.5306,
0.139,3.5357,
0.1393,3.5357,
0.1396,3.5306,
0.1399,3.5357,
0.1402,3.5357,
0.1405,3.5306,
0.1408,3.5306,
0.1411,3.5357,
0.1414,3.5306,
0.1417,3.5254,
0.142,3.5306,
0.1424,3.5306,
0.1427,3.5254,
0.143,3.5306,
0.1434,3.5357,
0.1437,3.5306,
0.144,3.5306,
0.1443,3.5357,
0.1446,3.5306,
0.1449,3.5306,
0.1458,3.5254,
0.1461,3.5357,
0.1464,3.5357,
0.1467,3.5306,
0.147,3.5357,
0.1473,3.5306,
0.1476,3.5357,
0.1479,3.5357,
0.1482,3.5357,
0.1486,3.5306,
0.1489,3.5254,
0.1492,3.5357,
0.1495,3.5357,
0.1498,3.5357,
0.1501,3.5357,
0.1504,3.5357,
0.1512,3.5306,
0.1515,3.5357,
0.1518,3.5357,
0.1521,3.5357,
0.1524,3.5306,
0.1527,3.5306,
0.153,3.5306,
0.1535,3.5203,
0.1538,3.5357,
0.1541,3.5306,
0.1544,3.5254,
0.1547,3.5306,
0.155,3.5357,
0.1553,3.5357,
0.1556,3.5306,
0.156,3.5408,
0.1563,3.5357,
0.1566,3.5357,
0.1569,3.5357,
0.1572,3.5357,
0.1575,3.5306,
0.1578,3.5306,
0.1581,3.5306,
0.1584,3.5306,
0.1587,3.5306,
0.1591,3.5306,
0.1594,3.5306,
0.1597,3.5306,
0.16,3.5306,
0.1603,3.5459,
0.1606,3.5357,
0.1609,3.5306,
0.1613,3.5306,
0.1617,3.5408,
0.162,3.5357,
0.1623,3.5357,
0.1626,3.5357,
0.1629,3.5357,
0.1632,3.5254,
0.1635,3.5357,
0.1644,3.5357,
0.1647,3.5306,
0.165,3.5357,
0.1653,3.5357,
0.1656,3.5357,
0.1659,3.5357,
0.1662,3.5357,
0.1665,3.5357,
0.1669,3.5306,
0.1672,3.5357,
0.1675,3.5306,
0.1678,3.5306,
0.1681,3.5306,
