Time B,Detector B,
0.1241,0,
0.1244,0,
0.1245,0,
0.3322,0,
0.6059,0,
0.8996,0,
1.2855,0,
1.5085,0,
1.7192,0,
1.9308,0,
2.1325,0,
2.3358,0,
2.5381,0,
2.7481,0,
2.9504,0,
3.1628,0,
3.3713,0.3759,
3.5831,0.6302,
3.7888,0.8846,
4.0096,1.1287,
4.214,1.3983,
4.4217,1.6526,
4.6248,1.8917,
4.8298,2.1511,
5.0407,2.3902,
5.2495,2.141,
5.4527,1.8815,
5.6589,1.6425,
5.8644,1.6933,
6.0685,1.9324,
6.2818,2.1867,
6.4974,2.4512,
6.6999,2.6903,
6.9108,2.9446,
7.121,3.1481,
7.3249,2.8989,
7.5277,2.6547,
7.7319,2.4156,
7.9459,2.1511,
8.1492,1.8917,
8.3505,1.6577,
8.5546,1.4136,
8.7599,1.1643,
8.9759,0.9049,
9.1957,0.6455,
9.4081,0.3962,
9.6152,0,
9.8303,0,
10.0316,0,
10.2352,0,
10.4504,0,
10.6791,0,
10.8918,0,
11.1064,0,
11.3231,0,
11.5313,0,
11.7359,0,
11.9447,0.4471,
12.1466,0.6913,
12.3533,0.9303,
12.5547,1.1796,
12.7697,1.4237,
12.976,1.6933,
13.2043,1.9273,
13.4083,2.2122,
13.6096,2.319,
13.8183,2.0799,
14.0237,1.8205,
14.2453,1.5763,
14.4509,1.3169,
14.6623,1.0575,
14.8727,0.8133,
15.0859,0.5488,
15.3249,0.2589,
15.5286,0,
15.7587,0,
15.97,0,
16.1736,0,
16.3768,0,
16.582,0,
16.7869,0,
16.9897,0,
17.1948,0,
17.4028,0,
17.6037,0,
17.8084,0.3047,
18.0148,0.4217,
18.232,0.5488,
18.4524,0.676,
18.6611,0.8083,
18.8741,0.9405,
19.0788,1.0575,
19.2909,1.1898,
19.4963,1.3169,
19.7084,1.4441,
19.9252,1.5662,
20.1272,1.7035,
20.329,1.7544,
20.5331,1.6221,
20.7706,1.4949,
20.9919,1.3474,
21.2001,1.2152,
21.4098,1.0982,
21.6208,0.9659,
21.8499,0.8489,
22.0551,0.7116,
22.263,0.5946,
22.4735,0.4573,
22.6806,0.3403,
22.8944,0.208,
23.1136,0,
23.3286,0,
23.5401,0,
23.7619,0,
23.9683,0,
24.1747,0,
24.3943,0,
24.6096,0,
24.8521,0,
25.0979,0,
25.3448,0.3606,
25.5926,0.676,
25.8399,1.0117,
26.0848,1.3017,
26.331,1.6018,
26.535,1.8459,
26.7399,2.0901,
26.9456,2.3393,
27.1496,2.1969,
27.3572,1.9426,
27.5619,1.7035,
27.7694,1.6221,
27.9837,1.8815,
28.1973,2.146,
28.4024,2.4004,
28.6151,2.6394,
28.822,2.8938,
29.0356,3.1583,
29.2399,2.9446,
29.4414,2.6852,
29.6446,2.4461,
29.8465,2.2122,
30.0513,1.968,
30.2526,1.7137,
30.4605,1.4695,
30.6701,1.2152,
30.8835,0.9659,
31.0915,0.7116,
31.3077,0.4573,
31.5926,0,
31.7952,0,
32.1656,0,
32.3875,0,
32.6024,0,
32.8179,0,
33.0222,0,
33.2256,0,
33.4283,0,
33.6349,0,
33.8377,0.3708,
34.0456,0.6353,
