Component Name,on/off,Peak RT,Windows,Resp Fact,Low Alarm,High Alarm
Limonene,Yes,9.44,0.15,1.00,0.00,0.00
Alpha Pinene,Yes,3.13,0.15,1.00,0.00,0.00
Linabol,Yes,31.64,0.07,1.00,0.00,0.00
B Pinene,Yes,24.51,0.01,1.00,0.00,0.00
mycene,Yes,35.91,0.01,1.00,0.00,0.00
A chycholpine,Yes,2.78,0.01,1.00,0.00,0.00
unknown,,6.55,0.01,1.00,0.00,0.00
,,1.55,0.01,1.00,0.00,0.00
,,2.45,0.01,1.00,0.00,0.00
,,2.34,0.01,1.00,0.00,0.00
,,1.56,0.01,1.00,0.00,0.00
,,2.78,0.01,1.00,0.00,0.00
